mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,2.375,0.5,theta,1e-05,30,0,0.0381575195032483,0.000710712122635891,3.13677472280623,0,-0.000394387747992872,7.73047377130806e-06,3.13677472280623,0.0134454575940377,1.20579993971717e-06
2.3,6.5,2.375,0.5,theta,0.0001,30,0,0.315235946709161,0.00581859879027277,25.3667560221403,0,-0.104238715018702,0.00194543231321037,25.3667560221403,0.109570375088764,9.23391287542863e-05
2.3,6.5,2.375,0.5,theta,0.001,7.02359652689826,2,11.5051659217829,0.500000000000095,42.4685237443877,0,-11.5051659217829,0.500000000000095,-40.0470350178184,31.9324592793723,0.0283279494533151
2.3,6.5,2.375,0.5,theta,0.01,3.49624196698016,2,15.0080328049681,0.500000000000062,63.4362275011339,0,15.0080328049681,-0.500000000000062,58.8711562527736,29.3204821480702,0.0138837855390627
2.3,6.5,2.375,0.5,theta,0.1,1.81974574044654,2,42.2190209480958,0.5,45.7001784535923,0,-42.2190209480958,0.5,45.7001784535923,11.2815974902833,0.0474800717814995
2.3,6.5,2.375,0.5,theta,1,0.943076144955662,2,8.85684551482582,0.5,5.97160005332137,0,-8.85684551482582,0.5,-3.23024423491055,32.0502700843897,0.00821838934852545
2.3,6.5,2.375,0.5,theta,5,0.593335311498206,2,18.0807734289736,0.500000000000015,20.5767747771362,0,18.0807734289736,0.500000000000015,-20.5767747771362,48.5684278495381,0.11820909710711
2.3,6.5,2.375,1,theta,1e-05,30,0,0.00188366798534438,3.50799446244387e-05,0.0769980708478105,1,9.99987530235836e-06,1.49973984045634e-07,0.0769980708478105,0.00065897975339963,3.6941923435515e-09
2.3,6.5,2.375,1,theta,0.0001,30,0,0.0188360641586176,0.000350784595791513,0.769978729389276,0,9.99983962129568e-05,1.49973790792876e-06,0.769978729389276,0.00658948471543954,3.69392242528714e-07
2.3,6.5,2.375,1,theta,0.001,30,0,0.187769891621792,0.00349335199668392,7.69781752686394,0,0.000999626534401155,1.49954992018824e-05,7.69781752686394,0.0655914905942377,3.66732279363976e-05
2.3,6.5,2.375,1,theta,0.01,30,0,1.70236563515763,0.0298397312791234,72.1599558254085,0,-0.0463260217681043,0.00119465345038665,72.1599558254085,0.553139093946284,0.00258188467771658
2.3,6.5,2.375,1,theta,0.1,2.81819760114124,3,57.7045618231546,0.318000478953879,203.423218216337,0,-57.7045618231546,0.310867382656855,203.423218216337,14.156659031105,1.62562057632561
2.3,6.5,2.375,1,theta,1,1.22959599638763,2,22.134393076965,0.500000000000025,8.16856293586705,0,-22.134393076965,0.500000000000025,8.16856293586705,22.2713210894,0.00956418428405074
2.3,6.5,2.375,1,theta,5,0.778916995710818,2,13.6311817025165,0.5,25.2241457055485,0,8.98482208172281,0.5,-25.2241457055485,33.7555407832116,0.100552700638681
2.3,6.5,2.375,2,theta,1e-05,30,0,3.69606372590101e-05,2.92306343792195e-07,0.000294767919050689,1,9.99999999999869e-06,1.49971589591027e-07,-0.000250649589489756,4.71552135673511e-06,4.73894153631107e-13
2.3,6.5,2.375,2,theta,0.0001,30,0,0.000369606372641089,2.92306343852245e-06,0.00294767919127012,1,9.99999999990938e-05,1.49971589589833e-06,-0.00250649589486123,4.71552135833182e-05,4.73350782111591e-11
