scenario,speed,end_time,tilt_event,rod_event,complete,peak_theta_deg,peak_r_m,peak_gamma_deg,peak_chi_deg,peak_force_N,peak_torque_Nm,final_theta_deg,final_r_m,final_gamma_deg,final_chi_deg,final_speed,initial_invariant,max_assigned_real,pole_error,zero_poles,tail_theta_deg,tail_r_m,tail_gamma_deg,tail_chi_deg,tail_speed_error,converged
configured,0.05,1.48396882676006,1,0,0,80,1.228016695627,5.72957795130823,3.08617377892166,27.2366741839993,0.079484428183566,80,1.228016695627,0.623220027810037,-3.08617377892166,0.0615404150415677,0.0080730396359336,-0.799999997840375,1.5736239866726e-08,3,80,1.228016695627,5.72957795130823,3.08617377892166,0.0126577368773917,0
configured,0.1,1.47434171549855,1,0,0,80,1.22473468593946,5.72957795130823,5.91382739048016,27.1740240826165,0.079484428183566,80,1.22473468593946,1.65403773993712,-5.91382739048016,0.112965425793793,0.0161460792718672,-0.799999999999617,7.44382466777438e-09,3,80,1.22473468593946,5.72957795130823,5.91382739048016,0.0129654257937934,0
configured,0.2,1.43901026814373,1,0,0,80,1.21159224967362,5.72957795130823,11.5343404454896,26.9512507420592,0.079484428183566,80,1.21159224967362,3.79481972543831,-11.5343404454896,0.215978611752496,0.0322921585437344,-0.799999998562346,1.05069514200196e-08,3,80,1.21159224967362,5.72957795130823,11.5343404454896,0.0159786117524955,0
configured,0.5,1.26935573528548,1,0,0,80,1.11857955219126,12.2727915706775,28.8589345061953,25.7425588293613,0.116382937086329,80,1.11857955219126,12.2727915706775,-28.8589345061953,0.528782023679446,0.080730396359336,-0.799999999999617,1.65878391023e-08,3,80,1.11857955219126,12.2727915706775,28.8589345061953,0.0287820236794465,0
configured,1,7.90588246483493,1,0,0,80.0000000000025,0.848227863824819,97.0690749138685,205.67055718206,27.0299855456165,1.12961300242721,-80.0000000000025,-0.776138700083677,13.9898007762043,141.920178046105,0.985609522374243,0.161460792718672,-0.799999999999617,1.10343312265115e-09,3,80.0000000000025,0.848227863824819,97.0690749138685,205.67055718206,0.40419158212999,0
configured,2,2.33799775520647,1,0,0,80,1.66689419087208,12.3478164873109,53.1192800992376,44.8009741106106,0.245858046624988,-80,1.66689419087208,12.3478164873109,39.3318114074117,2.83200325089463,0.322921585437344,-0.799999999999617,2.74522626853013e-10,3,80,1.66689419087208,12.3478164873109,53.1192800992376,0.832003250894635,0
configured,3,0.7690754034968,0,1,0,8.50020433006942,2,7.51120654453094,11.7493767917437,166.907678365787,0.091831733432396,6.29846594761195,2,7.48733803939973,-11.7493767917437,2.96267565824488,0.484382378156016,-0.799999999999617,1.45151646258057e-09,3,8.50020433006942,2,7.51120654453094,11.7493767917437,0.0528005541760446,0
configured,5,0.356502514104339,0,1,0,22.0422894348779,2.00000000000004,13.8734237671061,11.1949370978183,417.026175204789,0.183252159538905,22.0422894348779,2.00000000000004,13.8734237671061,-11.1949370978183,4.81101957521662,0.80730396359336,-0.799999999999617,2.69621962534217e-08,3,22.0422894348779,2.00000000000004,13.8734237671061,11.1949370978183,0.189400071411555,0
small_heading,0.05,60,0,0,1,0.11622761827665,0.00174416607166691,3.32360823767735e-05,0.100011082418502,0.0453264300195615,4.00488721476828e-07,6.97449890717584e-09,1.04597668770993e-10,-1.0498733799592e-13,-1.46318920166025e-09,0.0499999999999894,0,-0.799999997840375,1.5736239866726e-08,3,6.97449969045759e-09,1.04597680455107e-10,1.19970599848357e-12,1.46318920166025e-09,1.0623446566882e-14,1
small_heading,0.1,60,0,0,1,0.0580998579633765,0.000869289336833482,1.65901982405483e-05,0.100011082418505,0.0226005519357336,1.99915051549021e-07,8.60046179717427e-10,1.28982492693729e-11,1.10929983229959e-12,-5.69636054690941e-09,0.0999999999999803,0,-0.799999999999617,7.44382466777438e-09,3,8.60046637117161e-10,1.28982560715661e-11,2.40079575675177e-12,5.69636054690941e-09,2.1316282072803e-14,1
small_heading,0.2,60,0,0,1,0.0290481653427175,0.000429447969609289,8.24847927805774e-06,0.100011082418505,0.0111858202042706,9.93989382827343e-08,1.01080527985622e-10,1.51592074584561e-12,4.58937721904633e-12,-6.03116362770067e-09,0.199999999999975,0,-0.799999998562346,1.05069514200196e-08,3,1.01080765122698e-10,1.51592422924011e-12,4.80001297704082e-12,6.03116362770067e-09,4.25770529943748e-14,1
small_heading,0.5,60,0,0,1,0.0116190292812386,0.000157298761418577,3.17110105980951e-06,0.100011082418506,0.00415580846254367,3.82254204879541e-08,3.78088065376815e-12,5.67024681180049e-14,-4.60240455377723e-12,-2.64866706957001e-09,0.500000000000152,0,-0.799999999999617,1.65878391023e-08,3,3.78097693647375e-12,5.67037597268919e-14,4.60240455377723e-12,2.64866706957001e-09,1.58095758706622e-13,1
small_heading,1,60,0,0,1,0.00580947591313693,5.27977760355174e-05,1.36380108930171e-06,0.100011082418506,0.00150936411676049,1.64610587934787e-08,-3.56608364316851e-13,-5.34811242748897e-15,-1.40616710961841e-11,8.37306455674511e-10,1.00000000000019,0,-0.799999999999617,1.10343312265115e-09,3,3.56608364316851e-13,5.34811242748897e-15,1.780157142166e-11,8.37306656796295e-10,3.17967874252645e-13,1
small_heading,2,60,0,0,1,0.00290473556965037,2.53097908231065e-05,4.28338505924963e-07,0.100011082418506,0.000383319108461973,5.14100722107093e-09,2.65895336111506e-13,3.98767441957109e-15,6.08716910685088e-12,4.40589463489802e-10,2.0000000000003,0,-0.799999999999617,2.74522626853013e-10,3,2.65919714510199e-13,3.98767441957109e-15,3.58913940676089e-11,4.40589665458011e-10,6.3682392692499e-13,1
small_heading,3,60,0,0,1,0.00193647784703644,7.43206677940007e-05,8.38912093757654e-07,0.100011082418505,0.0015189492416836,9.97056625511859e-09,9.95994423499966e-13,1.49370863880407e-14,4.48844755985206e-11,2.52172915469038e-08,3.0000000000004,0,-0.799999999999617,1.45151646258057e-09,3,9.96010795250693e-13,1.49370863880407e-14,7.76090958281322e-11,2.52172917503614e-08,7.47402140177655e-13,1
