case_id,mass,speed,theta0_deg,gamma0_rad,kp,kd,end_time,completed,event_index,peak_theta_deg,peak_r_m,peak_gamma_deg,speed_min,speed_max,peak_torque,peak_force,mid_theta_range_deg,last_theta_range_deg,amplitude_ratio,turning_points,bounded_test,oscillatory
1,0.272,1.5,0.1,0,3,0.8,2.70979179826865,0,2,36.5421671771262,0.500000000000032,1.1886705523707,1.5,1.81715407727519,0.0787642834626775,0,NaN,NaN,NaN,0,0,0
2,0.272,1.5,1,0,3,0.8,1.62676003302473,0,2,36.8150034688942,0.500000000000003,1.17886905428587,1.5,1.83115222493038,0.0812318982049128,0,NaN,NaN,NaN,0,0,0
3,0.272,1.5,5,0,3,0.8,1.02360536666666,0,2,43.2359884747933,0.500000000000015,3.45684125486688,1.5,1.92255400571399,0.300707025329331,0,NaN,NaN,NaN,1,0,0
4,0.272,1.75,0.1,0,3,0.8,6.51458830303421,0,2,25.5446903742443,0.500000000000044,0.547072003562461,1.75,1.91801072688795,0.0529728997596026,0,NaN,NaN,NaN,2,0,0
5,0.272,1.75,1,0,3,0.8,2.40668408878916,0,2,27.4088718266295,0.500000000000024,0.728109221515688,1.75,1.92993534688556,0.0755250704249607,0,NaN,NaN,NaN,2,0,0
6,0.272,1.75,5,0,3,0.8,1.19478567475196,0,2,28.5027720114755,0.500000000000016,1.20158846868929,1.75,1.92236606652628,0.0946944779631385,0,NaN,NaN,NaN,2,0,0
7,0.272,2,0.1,0,3,0.8,30,1,0,0.675270774505572,0.018349707580022,0.000417016362536496,2,2.00015757614355,3.21935796240171e-05,0,0.57505197383755,0.551296887599538,0.958690540475003,42,1,1
8,0.272,2,1,0,3,0.8,4.56568845709479,0,2,18.8982919211381,0.5,0.24462560760576,2,2.10265122820342,0.0274605543461113,0,NaN,NaN,NaN,4,0,0
9,0.272,2,5,0,3,0.8,1.53347088724927,0,2,21.8225977029446,0.5,0.493697057273275,2,2.1011488701198,0.0570974021254631,0,NaN,NaN,NaN,2,0,0
10,0.272,2.375,0.1,0,3,0.8,30,1,0,0.322369260123837,0.00980958394237308,0.000103657949876551,2.375,2.37503359118201,1.02970323140872e-05,0,0.219889945145569,0.219972364022041,1.00037481875953,60,1,1
11,0.272,2.375,1,0,3,0.8,30,1,0,3.32371918169803,0.102296423856693,0.0107782253771462,2.375,2.37858049107028,0.00104841348695286,0,2.28961981996616,2.31633021850909,1.01166586623247,59,1,1
12,0.272,2.375,5,0,3,0.8,1.92883062080358,0,2,16.1591401397933,0.5,0.266672035426196,2.375,2.44172687198444,0.0243350115997107,0,NaN,NaN,NaN,4,0,0
13,0.272,3,0.1,0,3,0.8,30,1,0,0.198443771188655,0.00689288226219781,4.11144419459358e-05,3,3.00001114994646,4.5681188965085e-06,0,0.0982575728142125,0.0980854057191839,0.998247798209365,85,1,1
14,0.272,3,1,0,3,0.8,30,1,0,1.99819465439893,0.0696563079330711,0.00411158651735238,3,3.00113268122858,0.000456193347154538,0,0.996338234819531,0.997406307464131,1.00107199804973,85,1,1
15,0.272,3,5,0,3,0.8,2.92011991555084,0,2,13.1837440173651,0.5,0.122256430920349,3,3.0472179767352,0.0119657611246264,0,NaN,NaN,NaN,7,0,0
16,1,1.5,0.1,0,3,0.8,2.48709386100456,0,1,45.0000000000017,0.341322638341416,1.72413714091703,1.5,2.06569799054476,0.114295335309109,0,NaN,NaN,NaN,0,0,0
17,1,1.5,1,0,3,0.8,1.52043399409412,0,1,45.0000000000008,0.330179214540468,1.78715288913431,1.5,2.06628427741171,0.127972368347389,0,NaN,NaN,NaN,0,0,0
18,1,1.5,5,0,3,0.8,0.791398735593785,0,1,45,0.163429670993368,3.67062570730556,1.5,1.98982791340531,0.328543830550839,0,NaN,NaN,NaN,0,0,0
19,1,1.75,0.1,0,3,0.8,7.47945438432368,0,1,45,0.431088882406719,1.47299647211438,1.75,2.30139953749449,0.147333157148433,0,NaN,NaN,NaN,0,0,0
20,1,1.75,1,0,3,0.8,2.25454291958395,0,1,45.0000000000021,0.415190765433034,1.6228714552907,1.75,2.29460717626875,0.15133671027239,0,NaN,NaN,NaN,0,0,0
21,1,1.75,5,0,3,0.8,1.21987642682818,0,1,45,0.457268962063648,1.33715667971816,1.75,2.26593685948994,0.104973152689595,0,NaN,NaN,NaN,0,0,0
22,1,2,0.1,0,3,0.8,30,1,0,0.676306438658472,0.00519902737098839,0.000447848523344652,2,2.00015163467188,3.28796355164953e-05,0,0.560036447255558,0.560350608170152,1.00056096512313,44,1,1
23,1,2,1,0,3,0.8,30,1,0,7.02555487942953,0.0550181155753007,0.0478951209241805,2,2.0164247087801,0.00353193752958695,0,5.99871605001827,5.67342805311108,0.945773729879047,44,1,1
24,1,2,5,0,3,0.8,1.53763692391636,0,1,45.0000000000013,0.424026114125571,1.84580137885146,2,2.49261158405628,0.2321898477066,0,NaN,NaN,NaN,2,0,0
25,1,2.375,0.1,0,3,0.8,30,1,0,0.322306010702579,0.00265960089339168,0.000109363636121718,2.375,2.37503187480792,1.03744949807046e-05,0,0.221997765813511,0.22128759538659,0.996801001918561,60,1,1
26,1,2.375,1,0,3,0.8,30,1,0,3.24148404158962,0.0269177480420616,0.0110725084106067,2.375,2.37822403289481,0.00104802298350377,0,2.2391565781987,2.22848761816654,0.995235277364683,60,1,1
27,1,2.375,5,0,3,0.8,4.61242865586133,0,1,45.0000000000027,0.492745753340348,1.33727215934453,2.375,2.91219103246301,0.0909159887287876,0,NaN,NaN,NaN,8,0,0
28,1,3,0.1,0,3,0.8,30,1,0,0.198192175393023,0.00187748896721617,4.09262818600195e-05,3,3.00001040456936,4.59078036611361e-06,0,0.0967868006325174,0.0967428445336427,0.999545846142373,85,1,1
29,1,3,1,0,3,0.8,30,1,0,1.98247427010222,0.0188222750571591,0.00409277023928083,3,3.00103630942455,0.000459983407921819,0,0.969435228279445,0.972481134075926,1.00314193842727,85,1,1
30,1,3,5,0,3,0.8,30,1,0,10.3760008007414,0.100421811239427,0.102404353831005,3,3.02881755572108,0.0122095768476065,0,5.33875227022822,5.45757042334968,1.02225579069927,84,0,0
31,2.3,1.5,0.1,0,3,0.8,2.32354716198265,0,1,45.0000000000014,0.197670357199231,2.11131687781283,1.5,2.17387015313141,0.151556408746381,0,NaN,NaN,NaN,0,0,0
32,2.3,1.5,1,0,3,0.8,1.40097645931134,0,1,45,0.178463998166931,2.52273850835747,1.5,2.15314531325018,0.19118348096955,0,NaN,NaN,NaN,0,0,0
33,2.3,1.5,5,0,3,0.8,0.734690066533498,0,1,45.0000000000001,0.107859390068095,3.79372119835704,1.5,2.01441662242444,0.418119969825893,0,NaN,NaN,NaN,0,0,0
34,2.3,1.75,0.1,0,3,0.8,30,1,0,6.07983845656391,0.0175233761984512,0.0170501786802989,1.75,1.76226859489927,0.000954179178248588,0,5.99450168380232,6.00893934759113,1.0024084843996,8,1,1
35,2.3,1.75,1,0,3,0.8,2.45066820348592,0,1,45.0000000000014,0.238374467530893,1.61675144486345,1.75,2.44136657383818,0.15120434262147,0,NaN,NaN,NaN,0,0,0
36,2.3,1.75,5,0,3,0.8,1.10145893859931,0,1,45,0.244182787000357,1.72347654300014,1.75,2.40238876420731,0.134949662076312,0,NaN,NaN,NaN,0,0,0
37,2.3,2,0.1,0,3,0.8,30,1,0,0.577037675481302,0.00233929918088443,0.000316798998356085,2,2.00011465994825,2.34331959676977e-05,0,0.473065192675343,0.476635532875571,1.00754724772718,23,1,1
38,2.3,2,1,0,3,0.8,30,1,0,6.33403509319123,0.0237278315009293,0.0339240761894412,2,2.01321467041743,0.00259035120414251,0,5.10751610427372,5.01998914890709,0.982863107314847,23,1,1
39,2.3,2,5,0,3,0.8,1.75004291354521,0,1,45.0000000000001,0.24536467660639,1.73754087470681,2,2.67621024287148,0.135316761641786,0,NaN,NaN,NaN,0,0,0
40,2.3,2.375,0.1,0,3,0.8,30,1,0,0.320249248201422,0.0012270130743362,0.00011236067495152,2.375,2.37502895022397,1.01774033885818e-05,0,0.204671923343867,0.200945159957543,0.981791526041102,61,1,1
41,2.3,2.375,1,0,3,0.8,30,1,0,3.23459068990701,0.0122962520499164,0.0121003078477022,2.375,2.37794620594119,0.00110005501337869,0,2.08728734896649,1.96036973979426,0.939194951171879,61,1,1
42,2.3,2.375,5,0,3,0.8,30,1,0,16.4577308936098,0.0656108916989701,0.343733822852953,2.375,2.45096984002404,0.0323794302460548,0,11.7053317849541,11.8673960072689,1.01384533350205,63,0,0
43,2.3,3,0.1,0,3,0.8,30,1,0,0.198426859661912,0.000818679005513428,4.12874972834613e-05,3,3.00000952609019,4.7148607370988e-06,0,0.0982508828420372,0.0982345679583551,0.999833946696354,85,1,1
44,2.3,3,1,0,3,0.8,30,1,0,1.9855581750294,0.00819085442927393,0.00412894734297914,3,3.00095441992845,0.000473025405886542,0,0.984938232989234,0.98204353264747,0.997061033631542,85,1,1
45,2.3,3,5,0,3,0.8,30,1,0,10.0597516081266,0.0415169943165631,0.103344035568168,3,3.0246292279639,0.012613549863705,0,5.09680851024777,5.14102144056929,1.00867463045406,85,0,0
46,0.272,2.375,1,0,6,0.8,30,1,0,3.32335457031804,0.102298691983546,0.00791684868221633,2.37499485173728,2.37857545018246,0.00108379388190557,0,2.28792412066112,2.31359316868766,1.01121936160152,59,1,1
47,0.272,2.375,1,0,6,1.6,30,1,0,3.32320141704609,0.102304666010217,0.00510309211567046,2.375,2.37856346470771,0.000991533399676046,0,2.28730725239442,2.31241822972471,1.01097840148235,59,1,1
48,0.272,2.375,1,0,12,2.4,30,1,0,3.32300414510118,0.102311501381587,0.00299330277008702,2.37499937670149,2.37855697438748,0.000973111501928843,0,2.28642256341938,2.31092129529325,1.01071487496049,59,1,1
49,0.272,2.375,1,0.1,3,0.8,30,1,0,3.26604473819599,0.100663646852532,5.72957795130823,2.375,2.39131777287755,0.3,0,2.24951160773923,2.27366883341252,1.01073887575871,60,0,0
50,0.272,2.375,1,0.1,6,0.8,30,1,0,3.30508983486969,0.101862804009066,5.72957795130823,2.375,2.38865751585749,0.6,0,2.27167447211487,2.29963561404529,1.01230860419204,59,0,0
51,0.272,2.375,1,0.1,6,1.6,30,1,0,3.27360680429613,0.100907190690895,5.72957795130823,2.375,2.38973019112857,0.6,0,2.25241607755306,2.27648682773705,1.01068663575255,60,0,0
52,0.272,2.375,1,0.1,12,2.4,30,1,0,3.29134551394766,0.101443483130233,5.72957795130823,2.375,2.38645113777017,1.2,0,2.26248795400349,2.28770181511316,1.01114430733877,60,0,0
53,1,2,0,0.1,3,0.8,30,1,0,0,0,5.72957795130823,2,2.01169757155764,0.3,0,0,0,0,0,0,0
54,1,2,1,0.1,3,0.8,30,1,0,6.73826029848783,0.0530224889790649,5.72957795130823,2,2.02675007497813,0.3,0,5.74867299510838,5.64257192290742,0.981543380134644,45,0,0
